seed,steps_req,steps_done,reported,computed,peak_bits,peak_step,peak,final
10281972,130,130,catalog,open,28,64,208253924,1184
10137984,65,65,catalog,open,32,24,3679964104,17296
794892,79,79,catalog,open,34,19,16267823504,4
15059990,280,280,terminated,terminated,38,155,205780934846,1
18454148,278,278,terminated,terminated,38,153,205780934846,1
36409432,272,272,terminated,terminated,38,147,205780934846,1
31811754,263,263,terminated,terminated,38,138,205780934846,1
27353456,268,268,terminated,terminated,38,143,205780934846,1
43867962,299,299,terminated,terminated,38,174,205780934846,1
29454204,287,287,terminated,terminated,38,162,205780934846,1
35818636,263,263,terminated,terminated,38,138,205780934846,1
45778310,302,302,terminated,terminated,40,72,569962299158,1
41945608,171,171,catalog,open,44,68,8984232706106,1184
25128700,320,320,terminated,terminated,45,111,24872382727726,1
47830446,140,140,catalog,open,45,49,18694692682714,2924
26497344,267,267,catalog,open,47,55,125653250634748,1210
25885280,380,380,terminated,terminated,48,49,174404520604348,1
49103496,322,322,terminated,terminated,48,219,219726415548038,1
19561894,336,336,terminated,terminated,48,90,170643591816748,1
41636364,383,383,terminated,terminated,49,31,370326378539528,1
45422068,352,352,terminated,terminated,49,44,295563377931386,1
36155608,287,287,terminated,terminated,49,73,311584506553184,1
21595590,271,271,terminated,terminated,49,48,487889184127076,1
7983014,296,296,terminated,terminated,50,49,1113829953246266,1
29586248,327,327,terminated,terminated,50,80,1113829953246266,1
1935744,149,149,catalog,open,50,55,708878479937246,2924
18904098,357,357,terminated,terminated,50,133,787992163063492,1
28813446,289,289,terminated,terminated,51,72,1353773522533024,1
15518106,326,326,terminated,terminated,51,69,1692967194744746,1
2793616,280,280,terminated,terminated,53,143,5275239101350976,1
34281138,410,410,terminated,terminated,54,270,9749453867135012,1
41395728,401,401,terminated,terminated,54,121,16885693260560896,1
46754310,202,202,catalog,open,54,131,9161912580551486,1210
15853446,303,303,catalog,open,55,151,32249557049049244,2924
43402350,261,261,terminated,terminated,55,69,23918683239152684,1
40922340,333,333,terminated,terminated,55,98,31318390846713898,1
42462842,305,305,terminated,terminated,55,202,34848650387572436,1
46200444,275,275,terminated,terminated,57,111,82812118812257612,1
1344690,357,357,terminated,terminated,57,248,109028969427082784,1
8449638,282,282,terminated,terminated,57,153,89340113039232872,1
30107070,261,261,terminated,terminated,59,38,344754500076654352,1
5552838,177,177,catalog,open,60,95,1079129763352767668,1184
45534172,325,325,terminated,terminated,60,108,1097689186478944168,1
48792228,321,321,terminated,terminated,60,141,885809094609826142,1
1949322,362,362,terminated,terminated,61,97,2044424697814771828,1
28988340,316,316,terminated,terminated,61,56,1714405522845215492,1
30655920,458,458,terminated,terminated,63,53,5658754472836232954,1
37658490,480,480,terminated,terminated,64,360,13511885452243859372,1
22744450,264,264,open,open,64,264,17021972306531801700,17021972306531801700
39411866,312,312,big-open-limit,open,65,312,23315909484642238816,23315909484642238816
11100344,437,437,big-open-limit,open,65,437,19034053590583174556,19034053590583174556
38215604,517,517,big-open-limit,open,65,517,19284049565774319956,19284049565774319956
30550702,296,296,big-open-limit,open,65,296,23473498722873695328,23473498722873695328
30359664,309,309,big-open-limit,open,65,309,20124508836995508204,20124508836995508204
8510032,268,268,big-open-limit,open,65,268,19057572060429045492,19057572060429045492
23703874,346,346,big-open-limit,open,65,346,23166801001744208436,23166801001744208436
46338588,311,311,big-open-limit,open,65,311,22484750031365971080,22484750031365971080
41903514,407,407,big-open-limit,open,65,407,30704447214526653036,30704447214526653036
6531088,271,271,big-open-limit,open,65,271,20203510094604251514,20203510094604251514
18128604,353,353,big-open-limit,open,65,353,19763948015160286490,19763948015160286490
42591312,320,320,big-open-limit,open,65,320,21925973627750417364,21925973627750417364
11152318,279,279,big-open-limit,open,65,279,22134627905592835560,22134627905592835560
8734472,473,473,big-open-limit,open,65,473,31134009206818085820,31134009206818085820
12012776,338,338,big-open-limit,open,65,338,19823983215620871828,19823983215620871828
42285126,285,285,big-open-limit,open,65,285,23331290881066570780,23331290881066570780
21680250,357,357,big-open-limit,open,66,357,38848294479840007008,38848294479840007008
19079734,374,374,big-open-limit,open,66,374,40396548411309919560,40396548411309919560
